Cartera de préstamos hipotecarios al día 23.10.2006
Clasificación por Comunidades Autónomas,,
Comunidades Autónomas,Préstamos
%,Principal pendiente
(euros) %
Andalucía,499 4,78,44.955.231,64 4,57
Aragón,534 5,12,52.791.218,62 5,36
Asturias,1 0,01,83.995,30 0,01
Baleares,35 0,34,6.466.070,03 0,66
Canarias,2 0,02,320.881,90 0,03
Cantabria,1 0,01,177.626,67 0,02
Cataluña,163 1,56,27.246.547,69 2,77
País Vasco,3 0,03,235.854,29 0,02
Extremadura,2 0,02,96.151,62 0,01
Galicia,2 0,02,79.860,54 0,01
Castilla-León,8 0,08,680.872,35 0,07
Madrid,419 4,02,57.263.456,16 5,82
Castilla La Mancha,28 0,27,2.848.033,84 0,29
Murcia,1.433 13,74,109.641.327,83 11,14
Navarra,45 0,43,5.507.022,27 0,56
La Rioja,84 0,81,9.290.662,07 0,94
Comunidad Valenciana,7.173 68,76,666.775.509,02 67,73
Total,10.432 100,00,984.460.321,84 100,00
